{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.14, 'ROAM': 'FALSE', 'RSSI': '-57', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:56'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.27, 'ROAM': 'FALSE', 'RSSI': '-55', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:57'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.01, 'ROAM': 'FALSE', 'RSSI': '-53', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:58'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.87, 'ROAM': 'FALSE', 'RSSI': '-52', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:59'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 50.49, 'ROAM': 'FALSE', 'RSSI': '-50', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:00'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.94, 'ROAM': 'FALSE', 'RSSI': '-48', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:01'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 77.67, 'ROAM': 'FALSE', 'RSSI': '-46', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:02'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.05, 'ROAM': 'FALSE', 'RSSI': '-44', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:03'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 52.42, 'ROAM': 'FALSE', 'RSSI': '-44', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:04'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.23, 'ROAM': 'FALSE', 'RSSI': '-44', 'CHANNEL': '11', 'GMT': '2018-01-15 17:01:05'}
